week_end,jurisdiction,respiratory_season,inpatient_beds,inpatient_beds_occupied,inpatient_occupancy_pct,icu_beds,icu_beds_occupied,icu_occupancy_pct,covid_new_admissions,flu_new_admissions,rsv_new_admissions,hospitals_reporting_occupancy,hospitals_reporting_occupancy_pct
2025-01-25,ID,,2567,1879,73.20,379,294,77.57,26,104,47,41,87.23
2025-01-25,IL,,25496,18163,71.24,3344,2412,72.13,578,1688,390,170,84.58
2025-01-25,IN,,15139,10521,69.50,2522,1691,67.05,294,678,179,120,84.51
2025-01-25,KS,,6888,4892,71.02,1050,778,74.10,118,205,70,110,76.92
2025-01-25,KY,,10617,7437,70.05,1925,1439,74.75,171,386,96,98,87.50
2025-01-25,LA,,12573,8273,65.80,1883,1344,71.38,127,494,120,137,84.57
2025-01-25,MA,,16664,13983,83.91,1614,1308,81.04,422,991,243,81,93.10
2025-01-25,MD,,11158,9153,82.03,1543,1219,79.00,196,582,72,46,90.20
2025-01-25,ME,,2937,2392,81.44,424,262,61.79,55,104,29,35,94.59
2025-01-25,MI,,17317,13567,78.34,2417,1887,78.07,634,928,334,135,86.54
2025-01-25,MN,,8918,6727,75.43,1039,839,80.75,260,866,168,121,90.98
2025-01-25,MO,,13831,10736,77.62,2086,1686,80.82,172,501,106,97,78.23
2025-01-25,MP,,,,,,,,,,,0,0.00
2025-01-25,MS,,8610,6188,71.87,1232,830,67.37,109,322,60,87,82.08
2025-01-25,MT,,2522,1588,62.97,270,134,49.63,20,59,19,47,74.60
2025-01-25,NC,,23513,18663,79.37,3794,2961,78.04,414,1548,412,120,88.89
2025-01-25,ND,,2190,1572,71.78,280,209,74.64,24,89,10,47,95.92
2025-01-25,NE,,5287,3343,63.23,725,429,59.17,79,181,65,90,91.84
2025-01-25,NH,,2376,1856,78.11,155,122,78.71,60,121,30,25,96.15
2025-01-25,NJ,,20494,15340,74.85,2787,1914,68.68,459,1591,331,83,97.65
2025-01-25,NM,,3684,1953,53.01,484,361,74.59,75,190,56,37,75.51
